employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
1056,Mercedes,johnston,olivia34@example.com,2027-08-03,Data Analyst,HR,"$95,718",,"53272 Julie Motorway Suite 684, Lake Hollybury, ME 22219",Murphyton,IL,87301,1976-06-29,on leave
1080,ALEXANDRIA,stephenson,oburnett@example.org,2021-12-19,HR Executive,Sales,"$47,794",1003.0,"88675 Cox Roads, Port Brittney, MA 06606",Smithton,NY,21791,1993-08-10,inactive
1002,Abigail,Rose,invalid_email,2026-05-22,Manager,HR,"$115,287",,"747 Ronald Neck, East Thomas, FM 28577",West Robertmouth,FL,38833,1984-11-18,active
1014,CARLOS,Miller,marc51@example.com,2025-01-21,Manager,Analytics,"$50,629",,"772 Sanchez Fort Suite 321, Harperberg, VA 65967",East Rebecca,IL,37472,1967-12-04,inactive
1081,Denise,knight,amy95@example.com,2028-03-26,Accountant,HR,68534,,"Unit 8985 Box 5549, DPO AE 44086",Lake Amanda,FL,68844,2000-04-30,inactive
1080,Michael,wilson,cathy22@example.net,2021-04-03,Manager,Finance,,,"807 Smith Route Suite 891, Perkinsside, SD 96822",Monicaview,FL,09742,2001-02-19,inactive
1034,Donna,Adams,dillondrew@example.net,2022-08-10,HR Executive,Sales,"$114,566",,"5933 Alicia Freeway, North Carolyn, SD 57672",New Johnmouth,FL,24077,1979-12-05,active
1056,Christopher,Smith,michael13@example.org,2024-02-18,Data Analyst,Analytics,"$80,452",1000.0,"7510 Estrada Trail Suite 549, Sydneyton, NE 46511",New Williamhaven,TX,03612,1995-11-12,Inactive
1023,David,Franklin,,2027-09-15,Sales Executive,Sales,37696,1041.0,"548 Richard Plaza Suite 070, Sheliamouth, AL 22229",Perezborough,WA,96203,1988-12-17,On Leave
1066,Danielle,Brown,invalid_email,2022-10-09,Data Analyst,IT,100196,,"20083 Miller Inlet Apt. 645, Bishopborough, IA 03329",Sharpshire,WA,07041,1975-04-23,On Leave
1087,Richard,Nichols,alyssa02@example.org,2023-02-24,Sales Executive,HR,105227,1021.0,"2750 Gonzales Pass Suite 568, New Cynthia, AK 23359",Lake Carlton,TX,15710,1976-12-19,Active
1011,Matthew,Moore,kristamay@example.com,2021-04-25,Accountant,IT,39659,1005.0,"1878 Jenna Fields, Cowanside, WA 63368",North Emily,FL,28961,1994-11-20,Active
1043,ANN,Johnson,robert46@example.org,2026-12-01,Software Engineer,Analytics,"$61,906",,"3622 Pratt Walks Apt. 249, South John, IL 47188",Michaelshire,IL,12172,1983-07-15,inactive
1042,JOHN,Hutchinson,invalid_email,2026-07-10,Sales Executive,IT,41024,,"59714 Rodriguez Forge, East Angelaview, IN 12253",Lake Jasonchester,WA,35113,1967-12-21,inactive
1065,Melissa,Flores,cevans@example.net,2024-01-11,HR Executive,Marketing,,1005.0,"1385 Craig Spring, North Melissamouth, ID 93561",Ariasmouth,IL,02817,1979-02-01,Inactive
1025,Anthony,Small,pbishop@example.net,2023-02-26,Accountant,Marketing,"$108,440",1019.0,"528 Linda Common, Pamelachester, MD 19446",Port Douglashaven,IL,13220,1971-04-11,Inactive
1082,Larry,Spencer,invalid_email,2023-08-27,Manager,Analytics,"$71,058",,"66984 Sherri Road Apt. 100, Kellytown, AK 55814",South Wesley,IL,68920,2002-07-04,On Leave
1038,Suzanne,Perry,shaneperez@example.net,2027-11-15,Sales Executive,IT,56963,,"723 Mckenzie Plaza, Gonzalesborough, TN 60258",South Rebeccastad,WA,73268,2001-01-16,On Leave
1052,Richard,Brown,invalid_email,2026-02-10,Manager,IT,"$53,690",,"2287 Johnson Port Suite 257, Shawnamouth, HI 45248",Port Steven,CA,01139,1982-06-30,inactive
1092,David,diaz,meredithking@example.net,2025-03-28,HR Executive,Sales,"$77,836",1047.0,"906 Marsh Points Suite 399, North Robertfurt, MA 37627",South Bobbyside,TX,23325,2005-04-04,On Leave
1011,Roberta,Fernandez,,2023-12-21,Manager,Marketing,46217,,"833 Cameron Trail Suite 741, Pamland, CO 91520",East Justinmouth,CA,61218,1990-10-19,inactive
1039,LAURA,mcdowell,rwalker@example.com,2027-01-25,Accountant,Analytics,108139,1049.0,"506 Rojas Island, South Kellymouth, NC 17122",North Rachel,CA,85415,1986-05-15,Active
1088,Daniel,Anderson,fgillespie@example.org,2022-09-09,Manager,Sales,"$44,320",1048.0,"505 Scott Plain Apt. 366, West Lori, FL 16335",South Ian,IL,16901,2006-02-07,Inactive
1032,Natasha,hale,hhale@example.net,2025-03-18,Sales Executive,IT,,1026.0,"8258 Bennett Fall Apt. 501, Snyderburgh, PW 22164",West Tyler,CA,64762,1997-05-04,Inactive
1049,James,Lawson,invalid_email,2025-01-29,Data Analyst,Marketing,75367,,"665 Mullen Walk, North Luis, AS 36959",Hughesport,CA,30550,1989-04-09,inactive
1090,Lynn,love,invalid_email,2025-05-08,Software Engineer,Analytics,,1008.0,"212 Donna Vista, West Kevin, FM 10589",Lake Jesuschester,FL,57790,1989-11-28,Inactive
1093,Charles,Wilson,victoria37@example.com,2027-10-09,Accountant,Sales,,1004.0,"920 Garcia Prairie Apt. 852, West Victoriaton, PR 95775",Stevenhaven,IL,62033,1988-07-01,On Leave
